Model,C2d-avg,C2d-med,C2d-stdev,d4-avg,d4-med,d4-stdev,d4-avg,d4-med,d4-stdev,Dsharp-avg,Dsharp-med,Dsharp-stdev,Index
Smarch/fiasco_17_10.dimacs,1.20002945722081,1.20915787876584,0.109093812826077,0.041531126070768,0.04296642029658,0.005007806737178,0.045845260024071,0.044680260121822,0.006162782876862,0.033056788863614,0.032696647569537,0.004367073696598,34
Smarch/freebsd-icse11.dimacs,1800,1800,0,561.074635486212,561.522361990064,33.2183579502712,22.3365422930941,22.3230334958062,0.062386017635413,428.974047727799,427.883126265369,21.5847283500668,35
Smarch/freetz.dimacs,1800,1800,0,1799.9676792928,1800,0.22854191232615,1381.41692456804,1379.5484012682,12.8471422105789,540.073997158688,541.021758005489,3.47316705218955,36
Smarch/integrator_arm9.dimacs,10.6417333646026,9.59129250538535,4.11584637747797,30.0157532968465,28.9449659436941,6.55041202784147,4.03194541707635,4.02479026466608,0.043512482254296,97.1732475446072,92.9581418205053,0.519324860174517,37
Smarch/lrzip.dimacs,0.060889957798645,0.06014115572907,0.007377866529035,0.016860794015229,0.017730954103172,0.002877296199301,0.034436098337174,0.034456481225789,0.004681759496715,0.09565641913563,0.027189929503948,0.051232001114661,38
Smarch/m5272c3.dimacs,6.75768878321163,6.66895335051231,1.32395355097043,8.39603930303827,8.38673568610102,0.115552438180763,8.62574545126408,8.6237857080996,0.028229352319087,91.7304406235274,89.4543054068927,9.37019934808191,39
Smarch/olpce2294.dimacs,6.48208567500114,6.10862923157401,1.55122226438628,19.155188167356,19.1748921868857,0.240387084422745,6.74818045753986,6.73170475196093,0.053303236648391,101.756273551658,102.135962319095,5.03510329850805,40
Smarch/pati.dimacs,6.86874744418077,6.31790888705291,2.60784247899696,12.709284930462,12.711085063871,0.1469247235083,5.30435008168221,5.30521996784955,0.013958156351417,82.5827945978008,81.0109039722011,17.6269709341247,41
Smarch/phycore229x.dimacs,7.23961738199927,6.81010785559192,1.84908688942389,14.3653996845242,14.2055525272153,0.505353214667049,14.1662391335517,14.155416530557,0.070341101297521,104.020913001448,102.751731686294,10.2555957225709,42
Smarch/ref4955.dimacs,5.88970563840121,5.72682301001623,1.47376662541453,9.84915966293775,9.82786753610708,0.124655533776583,14.8462572385371,14.8363050902262,0.093378306261135,80.863585483022,77.781479306519,26.3732250441288,43
Smarch/se77x9.dimacs,9.88359185182489,9.26726546999998,1.96133126971687,33.2857261682302,33.0301760539878,6.92129222814591,8.35337718192488,8.34881883300841,0.025552575764439,93.4450439513102,93.4705169755034,1.65022327689427,44
Smarch/toybox.dimacs,3.02047562876716,3.01635904493742,0.022123486244738,0.021252413420007,0.02135020843707,0.002799976346945,0.040835243947804,0.041066417470574,0.002571794198157,0.042967573516071,0.03899912443012,0.041844310200477,45
Smarch/toybox_0_7_5.dimacs,0.265211221482605,0.265569614013657,0.004563688957211,0.01716362150386,0.01765035931021,0.002408717875938,0.038130090795457,0.03864596132189,0.002438622077376,0.026681213658303,0.019812073325738,0.000294708874762,46
Smarch/uClibc-ng_1_0_29.dimacs,0.856834092009813,0.855732364580035,0.114694943953497,0.046696097655222,0.047353899572045,0.002303230705776,0.056310013644397,0.057184785604477,0.002115729908357,0.042724691443145,0.039618101669476,0.046352920916908,47
Smarch/uClinux-config.dimacs,59.5473452533968,59.6418054685928,5.37814149244026,0.362995276590809,0.358458527131006,0.01502893592223,0.709772089421749,0.70863011199981,0.012722889745047,1.61144522808492,1.60699533810839,0.022558787527543,48
Smarch/uClinux.dimacs,6.02236805462279,6.02671204670332,0.027682262090554,0.027443895339966,0.027918917592615,0.004288743405265,0.041517776437104,0.041000448167324,0.004142649670799,0.076906725019217,0.077290806686506,0.009254364627277,49
automotive01/automotive01.dimacs,21.1950300625805,21.3848347098101,1.98572503034183,0.393622381035238,0.381066204514354,0.034068310679685,0.592926214113832,0.592864203266799,0.011950449354204,1.89313581939787,1.89417422469705,0.021952441562168,50
automotive02/automotive2_4.dimacs,1608.29680673919,1800,456.265185364803,23.6976351892669,23.7086544369813,0.088194242923174,110.075787286088,104.98698875308,13.2975500766243,6.9862432474643,6.96850509289652,0.097373630660361,51
featureide_examples/berkeleydb.dimacs,0.408320120535791,0.408150014467537,0.012313557229815,0.021179656693712,0.022111107828096,0.00342047483325,0.040647217743099,0.04066429939121,0.002308209107617,0.014559345981106,0.014109632233158,0.005980563388166,52
financial_services/financialServices_2018-05-09.dimacs,10.7606360676792,10.7875197979156,0.414544365657255,0.294229320902377,0.291170239914209,0.013158162106312,0.348148892112076,0.34544300287962,0.015114008306857,0.818366071498021,0.816682860255241,0.014921972189454,53
confidential/automotive03/03latest.dimacs,4.91196964071132,4.87030978896655,0.348164995182553,0.09000982654281,0.084714983124286,0.011831906210887,0.098209323398769,0.094005264341831,0.012391322418018,0.077610593121499,0.072863893350586,0.00984197664776,54
confidential/automotive03/automotive03.dimacs,2.19926967428997,2.23008596361615,0.123040062124176,0.032407129146159,0.032820470398292,0.003747651951766,0.043275315761566,0.042899856343865,0.004531611417707,0.031030738288537,0.026961283525452,0.004328213972999,55
confidential/automotive03/automotive03_sw.dimacs,5.55001554196701,5.57031447184272,0.673366321656353,0.097310262760148,0.09375361003913,0.012420856972942,0.087448147237301,0.088152118958533,0.002068177969062,0.318220692854375,0.313165023224428,0.01712577558035,56
confidential/automotive04/04latest.dimacs,3.1957316455245,3.20507293194532,0.387353287384797,0.119830576190725,0.118187846150249,0.006687814285908,0.137337154150009,0.13524161465466,0.010508169602673,0.043164271712303,0.039543400518596,0.003500102815289,57
confidential/automotive05/05latest.dimacs,1800,1800,0,1800,1800,0,1800,1800,0,355.774013512293,356.826559441863,3.05046795286107,58
confidential/automotive06/automotive06.dimacs,2.60839041288011,2.60490186465904,0.170059151821917,0.038799740299583,0.039328014478088,0.002874129639133,0.050133113972843,0.050944685935974,0.002052621891839,0.048963005645201,0.050608471501619,0.005162890819453,59
confidential/automotive06/automotive06_sw.dimacs,6.59087280717678,6.65917757386342,0.652557520946018,0.0713601428736,0.070286856498569,0.002157295041321,0.071837150380015,0.072491213679314,0.002734456035163,0.361689790701494,0.359913109103218,0.030133641729964,60
confidential/automotive07/automotive07.dimacs,4.11225375705399,4.05508176796138,0.224081435878355,0.191321783047169,0.187387231970206,0.013883392480477,0.151522029303014,0.148769957013428,0.011657049656091,0.239145099911839,0.240160355344415,0.011609724463423,61
confidential/automotive07/automotive07_sw.dimacs,339.010055624647,259.167077301536,256.96027594307,5.82836091241799,5.83029560302384,0.019658686266293,2.23537540595978,2.23553453758359,0.015292831917726,12.593136897739,12.6722633363679,0.25780625093943,62
